id,x,y,longitude,latitude,depth,strat,depth_bin
tau_0040,661.6132999960607,-1576.3876685357532,-169.5019406556489,-14.254448609580292,20.204928031353155,3,DEEP
tau_0041,669.4026999960543,-1577.1972685357518,-169.42970572651697,-14.26130180283442,22.881679993144942,3,DEEP
tau_0042,661.6132999960607,-1576.6912685357524,-169.50192253641433,-14.257192757794176,27.171369754192096,3,DEEP
tau_0043,661.8104999960606,-1577.3996685357515,-169.50005268773822,-14.263584275297228,20.304124034142905,3,DEEP
tau_0044,661.8104999960606,-1577.2984685357515,-169.50005873827425,-14.262669560573505,18.34694963454645,3,DEEP
tau_0045,662.5006999960599,-1578.8164685357492,-169.4935711427924,-14.276349902269843,24.46579683919271,3,DEEP
tau_0046,661.3174999960609,-1576.0840685357534,-169.50469996372635,-14.251721658214567,23.42355775057881,3,DEEP
tau_0047,662.2048999960602,-1578.2092685357502,-169.4963490440686,-14.270878951265711,24.507174070904586,3,DEEP
tau_0048,662.7964999960598,-1578.9176685357488,-169.49082357262301,-14.277247257422495,22.32690780468693,3,DEEP
tau_0049,662.0076999960604,-1577.8044685357509,-169.49820089799354,-14.267231623937965,25.11432645107733,3,DEEP
tau_0050,662.8950999960596,-1579.0188685357489,-169.48990364635804,-14.27815617447842,24.110653101598473,3,DEEP
tau_0051,661.9090999960604,-1577.6020685357512,-169.49912680088696,-14.265407952280988,21.3842928465827,3,DEEP
tau_0052,661.7118999960605,-1576.9948685357522,-169.50099065011437,-14.25993116241047,23.13629959769855,3,DEEP
tau_0053,661.5146999960607,-1576.3876685357532,-169.50285439718107,-14.254454346726916,26.269470484294366,3,DEEP
tau_0054,662.1062999960602,-1578.0068685357505,-169.49727497905505,-14.269055290266694,26.161543959372285,3,DEEP
tau_0055,669.4026999960543,-1577.2984685357515,-169.4296993928888,-14.262216487383968,26.293063900590727,3,DEEP
tau_0056,662.0076999960604,-1577.9056685357505,-169.4981948379456,-14.268146337530625,26.952723143131,3,DEEP
tau_0057,662.2048999960602,-1578.3104685357498,-169.49634297493324,-14.271793663798837,25.497431369450524,3,DEEP
tau_0058,661.120299996061,-1575.7804685357542,-169.50654548389485,-14.248988950471393,28.42424927439262,3,DEEP
tau_0059,662.2048999960602,-1578.1080685357501,-169.49635511277404,-14.269964238659963,21.554265027538438,3,DEEP
tau_0060,662.1062999960602,-1577.9056685357505,-169.49728104321653,-14.268140577131053,23.05851708773267,3,DEEP
tau_0061,661.7118999960605,-1577.1972685357518,-169.50097855855023,-14.26176059298815,29.205529636496472,3,DEEP
tau_0062,661.7118999960605,-1576.893668535752,-169.5009966952537,-14.259016447012797,20.77032920441737,3,DEEP
tau_0063,662.30349999606,-1578.5128685357495,-169.4954170193506,-14.273617318936516,22.181867612334244,3,DEEP
tau_0064,661.8104999960606,-1577.6020685357512,-169.50004058537985,-14.265413704526951,29.085281562245193,3,DEEP
tau_0065,662.8950999960596,-1578.9176685357488,-169.48990974431032,-14.277241465153121,20.30008155130801,3,DEEP
tau_0066,662.6978999960597,-1578.8164685357492,-169.49174349149285,-14.276338336018348,20.559563328737653,3,DEEP
