id,x,y,longitude,latitude,depth,strat,depth_bin
tut_0029,528.808548587408,-1579.068211984727,-170.73290187489246,-14.283240299198027,7.5642120036319245,10,MID
tut_0030,528.5088485874085,-1579.1702119847268,-170.7356794424512,-14.2841656517093,14.420104813251838,10,MID
tut_0031,518.818548587426,-1581.4142119847238,-170.82550730298365,-14.304538082626204,6.0263867051835645,10,MID
tut_0032,527.8095485874098,-1579.8842119847259,-170.74215562197014,-14.290628526443603,6.736009911261272,10,MID
tut_0033,518.818548587426,-1581.1082119847242,-170.82550943775232,-14.301771314130013,15.147557676371013,10,MID
tut_0034,524.2131485874163,-1579.9862119847257,-170.77549958802703,-14.29158456710357,6.845096835503918,10,MID
tut_0035,521.4159485874213,-1579.9862119847257,-170.8014346576731,-14.291607617419134,9.455893253533139,10,MID
tut_0036,516.52084858743,-1583.1482119847215,-170.84680176052063,-14.320231120288403,14.58488561969588,10,MID
tut_0037,524.1132485874164,-1579.9862119847257,-170.77642583970302,-14.29158543899181,9.404155060921891,10,MID
tut_0038,517.5198485874282,-1582.4342119847224,-170.83754267676977,-14.31376917628894,13.591640054441836,10,MID
tut_0039,529.7076485874063,-1579.3742119847266,-170.7245625819257,-14.285997556983107,6.4062374594673805,10,MID
tut_0040,528.0093485874095,-1579.6802119847262,-170.7403052472509,-14.288782008498941,13.392539206359352,10,MID
tut_0041,530.0073485874059,-1578.0482119847284,-170.72179863105507,-14.274005059047383,6.302064776117063,11,MID
tut_0042,529.2081485874073,-1586.514211984717,-170.7291163068679,-14.350560294575287,10.877670839407537,11,MID
tut_0043,529.907448587406,-1578.0482119847284,-170.72272480701662,-14.274006138622584,9.108013659714846,11,MID
tut_0044,526.7106485874117,-1587.7382119847152,-170.7522664170002,-14.361652596900635,13.073876638342103,12,MID
tut_0045,525.6117485874138,-1588.1462119847147,-170.76245444283484,-14.365352024975547,12.6778781862906,13,MID
tut_0046,525.0123485874149,-1588.0442119847148,-170.7680147154997,-14.364435286413709,17.295274722445267,13,MID
tut_0047,547.190148587375,-1579.5782119847263,-170.56247101905925,-14.287599340623721,6.236608908713929,14,MID
tut_0048,546.6906485873758,-1580.496211984725,-170.5670862217285,-14.29590792069792,17.31253857246877,14,MID
tut_0049,547.9893485873736,-1579.8842119847259,-170.55505586255046,-14.290352308015299,11.95538095731196,14,MID
tut_0050,546.6906485873758,-1580.7002119847248,-170.5670826924614,-14.297752389647753,15.709935514493498,14,MID
tut_0051,547.8894485873736,-1579.8842119847259,-170.55598208827175,-14.290354037648203,6.994508778854801,14,MID
tut_0052,547.9893485873736,-1580.0882119847256,-170.55505223667873,-14.292196774840216,14.167062932054144,14,MID
tut_0053,547.8894485873736,-1579.9862119847257,-170.55598027917407,-14.291276271212663,11.152254685877967,14,MID
tut_0054,546.1911485873768,-1580.8022119847246,-170.5717122352507,-14.298683006945122,16.88069894419299,14,MID
tut_0055,547.4898485873744,-1580.496211984725,-170.5596762264503,-14.295894323227593,15.658967374083002,14,MID
tut_0056,546.7905485873757,-1580.8022119847246,-170.56615466647793,-14.298672936610712,16.642885660082523,14,MID
tut_0057,546.0912485873769,-1580.8022119847246,-170.57263849713232,-14.298684672712454,15.995040059730819,14,MID
tut_0058,548.6886485873722,-1578.354211984728,-170.5485998595293,-14.276506601667377,15.102646307032296,15,MID
tut_0059,548.9883485873718,-1578.4562119847278,-170.54581950682635,-14.277423554134254,16.486830841059987,15,MID
tut_0060,548.8884485873718,-1578.4562119847278,-170.54674567849517,-14.277425318146244,15.670937613591823,15,MID
tut_0061,533.1042485874002,-1578.0482119847284,-170.69308721599052,-14.273969806643285,16.490321035602634,16,MID
tut_0062,535.1022485873966,-1579.1702119847268,-170.67454919227467,-14.284089948256792,6.971601978137647,16,MID
tut_0063,533.5038485873995,-1578.354211984728,-170.68937873062563,-14.27673175290596,17.770672246520704,16,MID
tut_0064,535.0023485873969,-1579.068211984727,-170.67547672696938,-14.283168965265789,7.855094183780438,16,MID
tut_0065,547.2900485873747,-1577.0282119847298,-170.56158941424573,-14.264541751538696,12.353716600099977,17,MID
tut_0066,547.2900485873747,-1576.0082119847311,-170.56160723613343,-14.255319385023638,9.535241471710092,17,MID
tut_0067,547.190148587375,-1575.1922119847322,-170.5625475377664,-14.247943185808877,10.353757618022804,17,MID
tut_0068,547.4898485873744,-1576.6202119847303,-170.5597443329514,-14.260849393519283,8.879173981137416,17,MID
tut_0069,547.5897485873743,-1576.6202119847303,-170.55881822734642,-14.260847681989683,12.119368984512665,17,MID
tut_0070,535.4019485873962,-1573.968211984734,-170.67183859994913,-14.237051458803734,11.301277642720132,17,MID
tut_0071,537.9993485873915,-1575.9062119847313,-170.64773491078847,-14.254539864506924,11.851541999098252,17,MID
tut_0072,547.3899485873746,-1576.7222119847302,-170.56066865253436,-14.261773337882287,7.322808050940905,17,MID
tut_0073,532.9044485874006,-1575.4982119847318,-170.69497057048594,-14.250915923723719,10.434307321811952,17,MID
tut_0074,535.7016485873955,-1573.968211984734,-170.6690605378921,-14.237047625630742,17.900551393260113,17,MID
tut_0075,536.7006485873937,-1574.8862119847327,-170.6597879070375,-14.245334855137335,17.89989858007782,17,MID
tut_0076,542.3949485873836,-1576.0082119847311,-170.60698546077145,-14.25539846012694,12.133433154000395,17,MID
tut_0077,541.9953485873843,-1575.8042119847314,-170.61069298163642,-14.25356004855225,10.828266916592966,17,MID
tut_0078,540.3969485873872,-1576.0082119847311,-170.62550726239942,-14.255428255204109,15.43936421446511,17,MID
tut_0079,536.7006485873937,-1574.7842119847328,-170.6597892885471,-14.244412606521015,17.299978771641513,17,MID
tut_0080,538.1991485873912,-1575.4982119847318,-170.64588848651812,-14.2508481358549,11.393925206384091,17,MID
tut_0081,539.5977485873887,-1575.1922119847322,-170.63292792570556,-14.24806180739622,16.816638820955003,17,MID
tut_0082,547.2900485873747,-1577.538211984729,-170.56158049852556,-14.269152932117517,15.947252301295107,17,MID
tut_0083,543.6936485873812,-1575.8042119847314,-170.59494960499396,-14.253533840119852,13.664372939642005,17,MID
tut_0084,538.1991485873912,-1575.8042119847314,-170.64588417030905,-14.253614875909111,11.092053810020781,17,MID
tut_0085,540.5967485873869,-1575.6002119847317,-170.6236611971138,-14.251736363259992,10.287244515864995,17,MID
tut_0086,547.689648587374,-1576.3142119847307,-170.5578975134119,-14.25807925818323,11.659947672812168,17,MID
tut_0087,546.3909485873764,-1574.9882119847325,-170.56995946158662,-14.24611217222478,17.877145540795745,17,MID
tut_0088,538.1991485873912,-1575.7022119847315,-170.64588560914825,-14.252692629295682,12.170913363904107,17,MID
tut_0089,535.6017485873958,-1574.1722119847336,-170.66998387963073,-14.238893407173792,11.201102257061372,17,MID
tut_0090,544.4928485873797,-1576.110211984731,-170.58753594000214,-14.256287867773912,11.940709249680035,17,MID
tut_0091,540.4968485873869,-1576.0082119847311,-170.6245811713095,-14.25542679960214,17.24968150058307,17,MID
tut_0092,540.0972485873876,-1575.9062119847313,-170.6282870468398,-14.254510355772107,10.597874011116101,17,MID
tut_0093,532.5048485874013,-1575.7022119847315,-170.69867244041373,-14.25276513329898,10.474841225616153,17,MID
tut_0094,533.4039485873998,-1581.8222119847233,-170.69026200520454,-14.308089382037931,17.780409409622326,18,MID
tut_0095,538.2990485873909,-1581.9242119847231,-170.6448713395888,-14.308948160166263,14.67758440263705,18,MID
tut_0096,530.2071485874055,-1585.8002119847179,-170.71985943077792,-14.34409380735908,13.445492323633673,18,MID
tut_0097,543.6936485873812,-1578.9662119847271,-170.5948985273499,-14.282123280535808,16.265755544836356,18,MID
tut_0098,536.0013485873951,-1583.2502119847213,-170.66615882805652,-14.320968200017367,16.243861453142653,18,MID
tut_0099,535.1022485873966,-1580.496211984725,-170.67453195455994,-14.296079152909975,11.230480201446,18,MID
